排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
20,002563,森马服饰,0.5,6.01,6.1,8.31946755407654,8.196721311475411,0.12274624260112965,否,,,,,,,
21,002014,永新股份,0.8999999999999999,10.97,10.97,8.204193254329988,8.204193254329988,0,是,12.5,,,,,,
22,002749,国光股份,0.7,8.61,8.62,8.130081300813007,8.120649651972158,0.009431648840848794,否,,,,,,,
23,603277,银都股份,0.85,10.49,10.7,8.102955195424213,7.943925233644861,0.15902996177935247,否,,,,,,,
24,600566,济川药业,2.09,25.9,27.09,8.069498069498069,7.7150239940937615,0.3544740754043074,是,10.5,,,,,,
25,603027,千禾味业,0.6,7.47,7.54,8.032128514056225,7.957559681697612,0.07456883235861334,否,,,,,,,
26,603165,荣晟环保,1.1,13.97,13.8,7.874015748031496,7.971014492753624,-0.096998745,是,12.3,,,,,,
27,603833,欧派家居,2.48,31.63,33.03,7.840657603540942,7.508325764456554,0.3323318390843877,否,,,,,,,
28,605337,李子园,0.74,9.47,9.45,7.814149947201689,7.830687830687831,-0.016537883,否,,,,,,,
29,605377,华旺科技,0.6799999999999999,9.03,9.12,7.530454042081949,7.456140350877193,0.07431369120475662,否,,,,,,,
30,601088,中国神华,3.24,43.94,43.97,7.373691397360036,7.368660450307028,0.005030947053008106,是,,35,,,,,
31,002867,周大生,0.9,12.65,12.76,7.114624505928854,7.053291536050158,0.06133296987869663,否,,,,,,,
32,601717,中创智领,1.1199999999999999,15.82,16.05,7.079646017699114,6.9781931464174445,0.10145287128166913,否,,,,,,,
33,600742,富维股份,0.53,7.54,7.7,7.0291777188328926,6.883116883116883,0.14606083571600958,否,,,,,,,
34,002469,三维化学,0.4,5.75,5.9,6.956521739130435,6.779661016949152,0.17686072218128235,否,,,,,,,
35,002372,伟星新材,0.6,8.64,8.61,6.944444444444444,6.968641114982578,-0.024196671,否,,,,,,,
36,600694,大商股份,1,14.43,14.62,6.93000693000693,6.839945280437757,0.09006164956917306,否,,,,,,,
37,603006,联明股份,0.76,11.01,11.07,6.902815622161672,6.865401987353207,0.03741363480846527,否,,,,,,,
38,002839,张家港行,0.30000000000000004,4.35,4.41,6.896551724137932,6.802721088435375,0.09383063570255779,否,,,,,,,
39,600681,百川能源,0.235,3.42,3.42,6.871345029239766,6.871345029239766,0,否,,,,,,,
40,002032,苏泊尔,2.81,41.11,41.33,6.8353198735100955,6.798935398015969,0.03638447549412671,否,,,,,,,
41,603897,长城科技,1.8,26.51,26.57,6.789890607317993,6.774557771923222,0.015332835394771038,否,,,,,,,
42,600729,重百集团,1.36216,20.14,20.44,6.7634558093346575,6.664187866927593,0.0992679424070646,否,,,,,,,
43,601577,长沙银行,0.6200000000000001,9.21,9.34,6.731813246471227,6.63811563169165,0.09369761477957717,否,,,,,,,
44,000521,长虹美菱,0.32999999999999996,4.91,4.96,6.720977596741343,6.653225806451612,0.06775179028973088,否,,,,,,,
45,601666,平煤股份,0.6,8.94,8.92,6.7114093959731544,6.726457399103139,-0.015048003,否,,,,,,,
46,605266,健之佳,1.1,16.5,16.36,6.666666666666667,6.723716381418093,-0.057049715,否,,,,,,,
47,601886,江河集团,0.55,8.27,8.4,6.650544135429263,6.547619047619048,0.10292508781021503,否,,,,,,,
48,600582,天地科技,0.317,4.8,4.83,6.604166666666666,6.563146997929607,0.04101966873705898,否,,,,,,,
49,002508,老板电器,1,15.25,15.44,6.557377049180328,6.476683937823835,0.08069311135649304,否,,,,,,,
50,601128,常熟银行,0.4,6.12,6.21,6.535947712418301,6.441223832528181,0.09472387989011999,否,,,,,,,
51,601928,凤凰传媒,0.6,9.2,9.39,6.521739130434782,6.3897763578274756,0.1319627726073067,否,,,,,,,
52,603589,口子窖,1.3,20.12,19.96,6.461232604373757,6.513026052104208,-0.051793448,否,,,,,,,
53,002027,分众传媒,0.32999999999999996,5.14,5.14,6.420233463035019,6.420233463035019,0,否,,,,,,,
54,603323,苏农银行,0.27,4.21,4.28,6.413301662707839,6.308411214953272,0.1048904477545678,否,,,,,,,
